Year,Units,Institution,Kategorija,Value
2016,da/ne (1 označava 'da'),Međunarodna banka za rekonstrukciju i razvoj,Da li je CG član?,1
2017,da/ne (1 označava 'da'),Međunarodna banka za rekonstrukciju i razvoj,Da li je CG član?,1
2018,da/ne (1 označava 'da'),Međunarodna banka za rekonstrukciju i razvoj,Da li je CG član?,1
2019,da/ne (1 označava 'da'),Međunarodna banka za rekonstrukciju i razvoj,Da li je CG član?,1
2020,da/ne (1 označava 'da'),Međunarodna banka za rekonstrukciju i razvoj,Da li je CG član?,1
2021,da/ne (1 označava 'da'),Međunarodna banka za rekonstrukciju i razvoj,Da li je CG član?,1
2022,da/ne (1 označava 'da'),Međunarodna banka za rekonstrukciju i razvoj,Da li je CG član?,1
2012,da/ne (1 označava 'da'),Svjetska trgovinska organizacija,Da li je CG član?,1
2013,da/ne (1 označava 'da'),Svjetska trgovinska organizacija,Da li je CG član?,1
2014,da/ne (1 označava 'da'),Svjetska trgovinska organizacija,Da li je CG član?,1
2015,da/ne (1 označava 'da'),Svjetska trgovinska organizacija,Da li je CG član?,1
2016,da/ne (1 označava 'da'),Svjetska trgovinska organizacija,Da li je CG član?,1
2017,da/ne (1 označava 'da'),Svjetska trgovinska organizacija,Da li je CG član?,1
2018,da/ne (1 označava 'da'),Svjetska trgovinska organizacija,Da li je CG član?,1
2019,da/ne (1 označava 'da'),Svjetska trgovinska organizacija,Da li je CG član?,1
2020,da/ne (1 označava 'da'),Svjetska trgovinska organizacija,Da li je CG član?,1
2021,da/ne (1 označava 'da'),Svjetska trgovinska organizacija,Da li je CG član?,1
2022,da/ne (1 označava 'da'),Svjetska trgovinska organizacija,Da li je CG član?,1
2010,da/ne (1 označava 'da'),Generalna skupština UN,Da li ima pravo glasa?,1
2011,da/ne (1 označava 'da'),Generalna skupština UN,Da li ima pravo glasa?,1
2012,da/ne (1 označava 'da'),Generalna skupština UN,Da li ima pravo glasa?,1
2013,da/ne (1 označava 'da'),Generalna skupština UN,Da li ima pravo glasa?,1
2014,da/ne (1 označava 'da'),Generalna skupština UN,Da li ima pravo glasa?,1
2015,da/ne (1 označava 'da'),Generalna skupština UN,Da li ima pravo glasa?,1
2016,da/ne (1 označava 'da'),Generalna skupština UN,Da li ima pravo glasa?,1
2017,da/ne (1 označava 'da'),Generalna skupština UN,Da li ima pravo glasa?,1
2018,da/ne (1 označava 'da'),Generalna skupština UN,Da li ima pravo glasa?,1
2019,da/ne (1 označava 'da'),Generalna skupština UN,Da li ima pravo glasa?,1
2020,da/ne (1 označava 'da'),Generalna skupština UN,Da li ima pravo glasa?,1
2021,da/ne (1 označava 'da'),Generalna skupština UN,Da li ima pravo glasa?,1
2022,da/ne (1 označava 'da'),Generalna skupština UN,Da li ima pravo glasa?,1
2010,da/ne (1 označava 'da'),Savjet bezbjednosti UN,Da li ima pravo glasa?,0
2011,da/ne (1 označava 'da'),Savjet bezbjednosti UN,Da li ima pravo glasa?,0
2012,da/ne (1 označava 'da'),Savjet bezbjednosti UN,Da li ima pravo glasa?,0
2013,da/ne (1 označava 'da'),Savjet bezbjednosti UN,Da li ima pravo glasa?,0
2014,da/ne (1 označava 'da'),Savjet bezbjednosti UN,Da li ima pravo glasa?,0
2015,da/ne (1 označava 'da'),Savjet bezbjednosti UN,Da li ima pravo glasa?,0
2016,da/ne (1 označava 'da'),Savjet bezbjednosti UN,Da li ima pravo glasa?,0
2017,da/ne (1 označava 'da'),Savjet bezbjednosti UN,Da li ima pravo glasa?,0
2018,da/ne (1 označava 'da'),Savjet bezbjednosti UN,Da li ima pravo glasa?,0
2019,da/ne (1 označava 'da'),Savjet bezbjednosti UN,Da li ima pravo glasa?,0
2020,da/ne (1 označava 'da'),Savjet bezbjednosti UN,Da li ima pravo glasa?,0
2021,da/ne (1 označava 'da'),Savjet bezbjednosti UN,Da li ima pravo glasa?,0
2022,da/ne (1 označava 'da'),Savjet bezbjednosti UN,Da li ima pravo glasa?,0
2010,da/ne (1 označava 'da'),Ekonomski i socijalni savjet UN,Da li ima pravo glasa?,0
2011,da/ne (1 označava 'da'),Ekonomski i socijalni savjet UN,Da li ima pravo glasa?,0
2012,da/ne (1 označava 'da'),Ekonomski i socijalni savjet UN,Da li ima pravo glasa?,0
2013,da/ne (1 označava 'da'),Ekonomski i socijalni savjet UN,Da li ima pravo glasa?,0
2014,da/ne (1 označava 'da'),Ekonomski i socijalni savjet UN,Da li ima pravo glasa?,0
2015,da/ne (1 označava 'da'),Ekonomski i socijalni savjet UN,Da li ima pravo glasa?,0
2016,da/ne (1 označava 'da'),Ekonomski i socijalni savjet UN,Da li ima pravo glasa?,0
2017,da/ne (1 označava 'da'),Ekonomski i socijalni savjet UN,Da li ima pravo glasa?,0
2018,da/ne (1 označava 'da'),Ekonomski i socijalni savjet UN,Da li ima pravo glasa?,0
2019,da/ne (1 označava 'da'),Ekonomski i socijalni savjet UN,Da li ima pravo glasa?,0
2020,da/ne (1 označava 'da'),Ekonomski i socijalni savjet UN,Da li ima pravo glasa?,1
2021,da/ne (1 označava 'da'),Ekonomski i socijalni savjet UN,Da li ima pravo glasa?,1
2022,da/ne (1 označava 'da'),Ekonomski i socijalni savjet UN,Da li ima pravo glasa?,1
2012,da/ne (1 označava 'da'),Svjetska trgovinska organizacija,Da li ima pravo glasa?,1
2013,da/ne (1 označava 'da'),Svjetska trgovinska organizacija,Da li ima pravo glasa?,1
2014,da/ne (1 označava 'da'),Svjetska trgovinska organizacija,Da li ima pravo glasa?,1
2015,da/ne (1 označava 'da'),Svjetska trgovinska organizacija,Da li ima pravo glasa?,1
2016,da/ne (1 označava 'da'),Svjetska trgovinska organizacija,Da li ima pravo glasa?,1
2017,da/ne (1 označava 'da'),Svjetska trgovinska organizacija,Da li ima pravo glasa?,1
2018,da/ne (1 označava 'da'),Svjetska trgovinska organizacija,Da li ima pravo glasa?,1
2019,da/ne (1 označava 'da'),Svjetska trgovinska organizacija,Da li ima pravo glasa?,1
2020,da/ne (1 označava 'da'),Svjetska trgovinska organizacija,Da li ima pravo glasa?,1
2021,da/ne (1 označava 'da'),Svjetska trgovinska organizacija,Da li ima pravo glasa?,1
2022,da/ne (1 označava 'da'),Svjetska trgovinska organizacija,Da li ima pravo glasa?,1
